id,totalAreas,wTOF10,wTOF16,wTOF20,sample10,averageTOF10,sample16,averageTOF16,sample20,averageTOF20
63,4,3.294949428577187,2.945168353874582,7.02127610551615,4,3.294949428577187,4,2.945168353874582,4,7.02127610551615
72,51,34.651446053951524,31.328489598928254,35.954972133830175,34,33.643975410262904,45,31.311314884663666,41,35.19764132693706
77,66,195.03478473823463,86.39116032236842,197.37792363649305,34,196.80761768281187,53,88.67595798007375,30,195.4171413590674
78,218,486.0620932749252,458.0357397752508,701.8467372838282,124,471.3688258946611,169,446.9886211017724,129,666.3306504759422
79,809,1524.1716326509452,963.3133938813811,1310.8616367654565,244,1519.5676426734356,431,952.0145522333712,420,1259.304676515617
80,176,339.7696877056338,265.04367496303234,370.911852447559,85,343.42316670766223,85,270.7874613084493,93,373.9328598744318
81,166,434.75756480024154,414.4461885690428,618.6021404637609,101,439.56909438976487,121,406.9852173542888,130,614.8553321691177
86,346,1477.1821009255834,1300.5615950883598,1216.7518471937585,76,1488.0241797669069,80,1319.9721806761265,59,1214.6017889427642
87,244,454.3975960035996,492.76604302987585,609.7650231329729,206,452.8227097484548,125,511.9765191348302,204,612.4029667149499
88,242,822.4394562254583,1041.2078771268953,720.8503521846574,80,807.9281863429926,104,1020.2245116624435,129,729.3199534425895
89,7,5.12478090346514,13.017530574289989,22.168499093521643,4,5.123863551850533,6,13.018792210691037,5,22.01752882401363
90,296,431.13313492450453,468.99526695688365,607.0178151038791,38,425.56072962966607,69,469.9197235003905,46,609.4340074485124
142,351,832.1337517992396,761.1554204307769,987.7813834285555,48,806.3230720030117,57,738.1107780183002,49,991.2853706595774
146,112,256.11750818451077,333.28443162596113,328.10529310042506,70,251.98408063551892,72,324.0349766408212,60,316.33399374603016
150,223,516.8981772328034,487.89082698116704,894.9954095948674,39,515.1539112248414,56,499.96814890011717,16,918.6046499126571
